key,valor,
site_name,Flutter Restaurant,
setting_label,Ajuste,
lbl_search_shop,buscar tienda,
status_label,transacciones Estado,
trans_detail,Detalle de transacciones,
shops_unpublish_list_label,Lista inédito Shop,
btn_create_new_shop,Crear nueva tienda,
btn_shop_list,Lista Despublicar Shop,
btn_push_notification,Notificación de inserción,
btn_system_user,usuario del sistema,
btn_export_database,Base de datos de exportación,
btn_about_app,Acerca de Aplicación,
address_label,Habla a,
lbl_about_shop,sobre la tienda,
lbl_categories,categorías,
user_email,Email,
user_password,Contraseña,
sign_in,Registrarse,
Total de mensajes de contacto,Total de usuarias,
total_cat_count_label,Categorías totales,
total_wallpaper_count_label,Fondos de pantalla totales,
total_contact_label,Totoal Contacto Mensajes,
btn_search,Buscar,
back_shop_list,Volver Lista Shop,
err_image_missing,subido ningún archivo,
about_info,Acerca de Información,
allowed_modules,Módulo permitido,
shop_name,Nombre de tienda,
add_more_color,Añadir más color,
color_code,color del Comida,
product_title,Título,
product_desc,Descripción,
add_more_spec,Añadir más Especificación,
prd_specification,Especificaciones del Comida,
product_name_count,Conde Nombre del Comida,
select_multiple_images,"Por favor, seleccione múltiples imágenes de los Comidas.",
noti_add,Añadir Notis,
prd_unit,Unidad Comida,
prd_measurement,La medición del Comida,
noti_search,Buscar Noti,
error_login,Sus credenciales de inicio de sesión son incorrectas. Inténtalo de nuevo.,
profile_img,Imagen de perfil,
cat_add,añadir categorías,
wrn_no_data,No hay datos aún,
cat_name,nombre de la categoría,
cat_img,Categoría de fotos,
cat_info,Información de la Categoría,
cat_ordering,Ordenando,
cat_edit,Editar categoria,
success_cat_add,Categoría se ha añadido con éxito,
success_cat_edit,Categoría se ha actualizado correctamente,
success_upload,La imagen se ha actualizado correctamente,
delete_cat_label,Eliminar categoría?,
cat_yes_all_message,"Cuando eliminar esta categoría, se eliminarán todas las subcategorías relacionadas y Comidas también. Así que, ¿todavía desea eliminarlo?",
success_cat_delete,Categoría se ha eliminado correctamente,
cat_search,la búsqueda Categoría,
cat_icon,Icono Categoría,
btn_replace_icon,reemplazar Icono,
upload_icon,Subir Icono,
about_upload_icon,Subir Icono,
fav_upload_icon,Fav Icon,
sidebar_upload_icon,Logotipo de la barra lateral,
btn_upload,Subir,
err_cat_name,Por favor proporcione nombre de la categoría,
err_cat_len,La longitud del nombre de categoría debe ser mayor que 4,
err_cat_exist,Nombre de categoría ya está existía en el sistema,
subcat_info,Información Categoría Sub,
subcat_name,Subcategoría Nombre,
subcat_ordering,Orden de la categoría sub,
subcat_img,Categoría Sub fotos,
subcat_icon,Sub Icono,
subcat_search,Buscar categoría Sub,
subcat_add,Añadir categoría Sub,
subcat_edit,Editar categoría Sub,
success_subcat_edit,Sub se ha actualizado correctamente,
success_subcat_add,Sub se ha añadido con éxito,
success_subcat_delete,Sub se ha eliminado correctamente,
err_subcat_name,"Por favor, indique el nombre sub-categoría",
err_subcat_len,La longitud del Subcategoría Nombre debe ser mayor que 4,
err_subcat_exist,Subcategoría Nombre ya existía en el sistema,
delete_subcat_label,Eliminar categoría Sub?,
subcat_delete_confirm_message,¿Estás segura de eliminar esta subcategoría?,
subcat_yes_all_message,"Cuando eliminar esta categoría sub, borrará todos los Comidas relacionados también. Así que, ¿todavía desea eliminarlo?",
subcat_no_only_message,<B> Sólo Sub </ b> - Sólo serán Sub eliminar de sistema.,
subcat_yes_all_label,Si todo,
subcat_no_only_label,Sólo Sub Categoría,
select_subcat,Seleccionar categoría Sub,
select_cat,selecciona una categoría,
subcat_panel_title,Lista de categoría sub,
Prd_search_cat,Elija un nombre de categoría,
btn_reset,Reiniciar,
btn_yes,si,
upload_photo,Subir foto,
upload_button,Subir,
replace_photo_button,Vuelva a colocar la foto de portada,
photo_desc_label,descripción de la foto,
del_cover_photo,Eliminar la foto de portada,
del_cover_photo_confirm,¿Está seguro de que quiere borrar la foto?,
del_icon_label,Icono de borrar,
del_icon_confirm,¿Está seguro de que quiere borrar el icono?,
status,Status (Is Publicar?),
dis_name,Nombre de descuento,
dis_add,add Descuentos,
dis_percent,Porcentaje de descuento (%),
choose_prd_label,Elija los Comidas,
dis_info,Información acerca del descuento,
dis_photo,Foto de descuento,
prd_name,nombre del Comida,
prd_code,Código,
product_price,Precio ($),
dis_add,add Descuentos,
success_dis_add,Descuentos se ha añadido con éxito,
success_dis_edit,Descuentos se ha actualizado con éxito,
delete_dis_label,Descuentos eliminar?,
dis_delete_confirm_message,¿Está seguro que desea borrar esta Descuentos?,
dis_edit,Editar Descuentos,
err_dis_name,"Por favor, indique el nombre del descuento",
err_dis_percent,Sírvanse proporcionar Porcentaje de descuento,
err_dis_len,La longitud del nombre del descuento debe ser mayor que 4,
err_dis_exist,Nombre de descuento ya está existía en el sistema,
success_dis_delete,Descuentos se ha eliminado correctamente,
discount_photo,Foto de descuento,
dis_search,Buscar Descuento,
feed_add,Añadir nuevo contenido,
feed_info,Informaciones nuevos feeds,
feed_name,nombre de la alimentación,
feed_desc,Descripción RSS,
feed_edit,Editar feeds,
success_feed_add,Nuevos feeds se ha añadido con éxito,
success_feed_edit,Nuevos feeds se ha actualizado con éxito,
err_dup_name,El nombre ya se existía en el sistema,
err_feed_exist,Nombre alimentación ya está existía en el sistema,
delete_feed_label,Eliminar Nueva RSS?,
feed_delete_confirm_message,¿Está seguro que desea borrar este nuevo contenido?,
success_feed_delete,Nuevos feeds se ha eliminado correctamente,
f_item_cat_required,"Por favor, seleccione Nombre de categoría",
err_feed_len,La longitud de RSS Nombre debe ser mayor que 4,
err_feed_name,"Por favor, indique el nombre RSS",
feed_search,RSS Buscar,
feed_gallery,Galería RSS,
list_product_nav,Comida,
prd_add,Añadir Comida,
att_add,Añadir nuevo Personalizada,
add_att_detail,Añadir nueva detallada Personalizada,
list_attribute_header,Personalizada Lista de cabeceras,
wrn_no_data,No hay datos aún,
product_name,nombre del Comida,
att_name,Nombre del Personalizada,
Prd_search_subcat,Seleccione Subcategoría Nombre,
Prd_search_dis,Seleccionar el tipo de descuento,
product_gallery,Galería de Comidas,
prd_info,Información del Comida,
rec_prd_info,Recientemente agregado Comidas,
att_info,información de Personalizadas,
prd_desc,Descripción del Comida,
prd_high_info,Información culminante del Comida,
prd_edit,Editar Comida,
prd_code,Código de Comida,
success_prd_add,Comida ha sido agregado con éxito,
success_prd_edit,El Comida ha sido actualizado correctamente,
success_upload,La imagen se ha actualizado correctamente,
delete_prd_label,Eliminar Comida?,
prd_yes_all_message,"Cuando eliminar este Comida, eliminará todas las categorías sub relacionados y categoría también. Así que, ¿todavía desea eliminarlo?",
success_prd_delete,Comida se ha eliminado correctamente,
prd_search,búsqueda de Comidas,
btn_save_prd_att,Personalizada Guardar & Go Para Comida,
btn_att_list,Lista de Personalizadas,
btn_save_gallery,Guardar y Ir a la galería,
unit_price,Precio unitario,
search_tag,Búsqueda de etiquetas / palabra clave,
f_item_subcat_required,Por favor seleccione Subcategoría Nombre,
f_item_discount_required,"Por favor, seleccione Nombre de categoría",
err_Prd_name,"Por favor, indique el nombre del Comida",
err_Prd_len,La longitud del nombre del Comida debe ser superior a 4,
err_Prd_exist,Nombre del Comida ya está existía en el sistema,
is_discount,Descuento es?,
is_featured,Se ofrece?,
is_available,¿Está disponible?,
order_by,Por fin,
select_order,Seleccione el orden,
from_price,desde Precio,
to_price,Poner precio,
shipping_cost,Costo de envío,
minimum_order,Pedido mínimo,
original_price,Precio original,
err_access,"Lo sentimos, usted no tiene acceso a tomar esta acción",
err_model,Se ha producido error de base de datos,
err_sys,Se ha producido un error del sistema,
btn_edit,Editar,
btn_update,Actualizar,
btn_delete,Eliminar,
btn_publish,Publicar,
no,No,
btn_save,Salvar,
btn_cancel,Cancelar,
btn_replace_photo,Vuelva a colocar las fotos,
Remove,Eliminar,
success_img_delete,La imagen se ha eliminado correctamente,
trans_date_label,Fecha,
success_user_add,Usuario del sistema se ha añadido con éxito,
success_user_edit,Usuario del sistema se ha actualizado correctamente,
need_to_verify,"Su correo electrónico necesidad de verificar con el código de verificación. Por favor, eche un vistazo a su correo electrónico registrado.",
count_detail,Cargos de Detalle,
add_att_detail,Añadir detalle Personalizada,
detail_label,Detalle,
att_edit,Editar Personalizada,
success_att_add,Personalizada se ha añadido con éxito,
success_att_edit,Personalizada se ha actualizado correctamente,
delete_att_label,Personalizada de borrado?,
att_yes_all_message,"Cuando elimine este encabezado personalizado, también eliminará todos los detalles personalizados relacionados. Entonces, ¿todavía quieres eliminarlo?",
success_att_delete,Personalizada se ha eliminado correctamente,
